"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 30, 2012","644.6022","643.9000","646.5700","641.6800","-","0.44%"
"Jul 31, 2012","635.8224","644.0100","647.1200","633.6800","-","-1.36%"
"Aug 01, 2012","637.6095","634.6600","639.1800","633.5700","-","0.28%"
"Aug 02, 2012","630.3313","636.5300","641.2400","628.6500","-","-1.14%"
"Aug 03, 2012","647.6486","631.5800","649.5500","631.0500","-","2.75%"
"Aug 06, 2012","650.3401","645.2500","650.7700","643.1800","-","0.42%"
"Aug 07, 2012","657.5068","649.8200","659.9700","648.5100","-","1.10%"
"Aug 08, 2012","658.7162","656.4400","661.2200","652.6300","-","0.18%"
"Aug 09, 2012","661.6466","658.8700","664.0800","657.1200","-","0.44%"
"Aug 10, 2012","656.2125","661.9600","662.2000","652.7700","-","-0.82%"
"Aug 13, 2012","653.6086","657.2100","660.5500","652.1900","-","-0.40%"
"Aug 14, 2012","655.5320","654.4200","658.1600","653.2700","-","0.29%"
"Aug 15, 2012","662.1379","654.6300","663.9900","653.7900","-","1.01%"
"Aug 16, 2012","667.5738","663.7300","668.2900","660.7900","-","0.82%"
"Aug 17, 2012","667.5560","666.7900","669.1100","663.8200","-","-0.00%"
"Aug 20, 2012","669.2696","668.2000","670.1400","663.8600","-","0.26%"
"Aug 21, 2012","675.5479","669.6400","679.1300","669.5700","-","0.94%"
"Aug 22, 2012","676.6929","674.7900","677.6800","671.8600","-","0.17%"
"Aug 23, 2012","674.1329","680.7000","682.3500","671.5800","-","-0.38%"
"Aug 24, 2012","670.5105","671.8200","676.4900","668.6600","-","-0.54%"
"Aug 27, 2012","666.9625","678.7700","679.1700","664.4000","-","-0.53%"
"Aug 28, 2012","668.5032","666.2300","669.5200","665.2100","-","0.23%"
"Aug 29, 2012","668.7056","666.9200","670.6700","665.2000","-","0.03%"
"Aug 30, 2012","666.9635","666.9200","671.0200","664.7500","-","-0.26%"
"Aug 31, 2012","675.0332","666.8600","676.1700","666.6700","-","1.21%"
"Sep 04, 2012","672.5504","680.9300","682.2800","671.6600","-","-0.37%"
"Sep 05, 2012","668.7249","672.1900","672.6100","667.2600","-","-0.57%"
"Sep 06, 2012","671.7228","671.4700","678.0400","669.6500","-","0.45%"
"Sep 07, 2012","676.6445","668.4500","678.2600","667.6300","-","0.73%"
"Sep 10, 2012","677.8849","677.1700","680.0300","675.0900","-","0.18%"
"Sep 11, 2012","681.0522","676.5100","681.4400","675.6300","-","0.47%"
"Sep 12, 2012","682.7907","681.3000","686.5200","679.3400","-","0.26%"
"Sep 13, 2012","687.2164","682.7900","689.2200","679.1600","-","0.65%"
"Sep 14, 2012","694.2074","690.3100","699.1300","690.3000","-","1.02%"
"Sep 17, 2012","678.6822","693.2900","694.0000","672.4800","-","-2.24%"
"Sep 18, 2012","670.1300","679.3300","679.8200","669.0000","-","-1.26%"
"Sep 19, 2012","656.7286","657.0800","657.0800","657.0800","-","-2.00%"
"Sep 20, 2012","658.3464","657.0800","660.2900","650.9800","-","0.25%"
"Sep 21, 2012","663.9650","662.1300","666.4000","660.8800","-","0.85%"
"Sep 24, 2012","657.6786","658.6700","660.6100","654.1600","-","-0.95%"
"Sep 25, 2012","658.6644","659.5400","665.1800","657.0800","-","0.15%"
"Sep 26, 2012","651.8692","657.2500","657.9800","646.7000","-","-1.03%"
"Sep 27, 2012","660.2620","653.8500","662.0500","651.5300","-","1.29%"
"Sep 28, 2012","665.7263","662.4600","666.5600","660.0300","-","0.83%"
"Oct 01, 2012","666.9730","663.7800","671.8700","662.2000","-","0.19%"
"Oct 02, 2012","664.1776","666.8300","668.2200","663.4500","-","-0.42%"
"Oct 03, 2012","648.8982","662.5900","662.7100","647.4600","-","-2.30%"
"Oct 04, 2012","665.1905","648.4000","665.7000","648.4000","-","2.51%"
"Oct 05, 2012","659.6306","665.8200","666.5800","655.6400","-","-0.84%"
"Oct 08, 2012","656.6427","657.5900","659.6000","651.9600","-","-0.45%"
"Oct 09, 2012","667.2508","660.1900","669.0200","656.7800","-","1.62%"
"Oct 10, 2012","664.7600","666.2600","672.3100","663.7100","-","-0.37%"
"Oct 11, 2012","671.8399","664.9300","674.7700","664.8600","-","1.07%"
"Oct 12, 2012","665.3050","672.3900","672.5500","662.6900","-","-0.97%"
"Oct 15, 2012","663.0830","662.5300","665.0700","656.0200","-","-0.33%"
"Oct 16, 2012","664.2448","663.8600","666.7600","661.9000","-","0.18%"
"Oct 17, 2012","664.9351","664.8200","666.6000","661.7900","-","0.10%"
"Oct 18, 2012","665.1295","666.0900","666.7800","658.6700","-","0.03%"
"Oct 19, 2012","656.0487","664.9200","669.1800","655.5800","-","-1.37%"
"Oct 22, 2012","648.5046","655.8000","658.9700","648.0900","-","-1.15%"
"Oct 23, 2012","639.3006","649.2000","649.6300","635.1000","-","-1.42%"
"Oct 24, 2012","636.7467","641.8300","643.5500","633.2000","-","-0.40%"
"Oct 25, 2012","637.4734","637.3600","641.9100","634.5500","-","0.11%"
"Oct 26, 2012","638.9674","638.0500","640.8500","633.0700","-","0.23%"
"Oct 29, 2012","636.3921","637.8900","641.8300","633.4700","-","-0.40%"
"Oct 30, 2012","635.7940","635.5300","640.1100","634.6100","-","-0.09%"
"Oct 31, 2012","637.7365","636.5600","642.3700","636.3500","-","0.31%"
"Nov 01, 2012","638.8567","637.2500","641.3800","636.9800","-","0.18%"
"Nov 02, 2012","626.0701","638.1500","639.3000","625.5200","-","-2.00%"
"Nov 05, 2012","629.8489","625.7400","630.9500","622.4500","-","0.60%"
"Nov 06, 2012","644.6122","631.1100","645.6600","629.4600","-","2.34%"
"Nov 07, 2012","628.9980","644.1900","647.6600","627.7200","-","-2.42%"
"Nov 08, 2012","631.5300","630.8100","634.2600","627.1900","-","0.40%"
"Nov 09, 2012","636.4062","633.2600","639.6800","626.7700","-","0.77%"
"Nov 12, 2012","634.5162","636.0900","639.6800","633.1600","-","-0.30%"
"Nov 13, 2012","633.3156","633.7600","635.1700","629.6400","-","-0.19%"
"Nov 14, 2012","637.3909","633.4000","640.1600","632.1200","-","0.64%"
"Nov 15, 2012","634.1003","637.8800","640.3800","630.9100","-","-0.52%"
"Nov 16, 2012","637.0056","633.5600","638.0300","631.4000","-","0.46%"
"Nov 19, 2012","650.5815","641.1900","652.3600","640.7300","-","2.13%"
"Nov 20, 2012","642.7171","650.2200","650.6900","639.5100","-","-1.21%"
"Nov 21, 2012","646.0129","644.0100","648.1300","641.1900","-","0.51%"
"Nov 23, 2012","649.7961","643.9300","651.1100","643.7800","-","0.59%"
"Nov 26, 2012","646.9857","649.2300","650.2900","645.4100","-","-0.43%"
"Nov 27, 2012","645.9576","648.2100","649.8600","643.3900","-","-0.16%"
"Nov 28, 2012","642.5869","645.6700","646.2100","637.0100","-","-0.52%"
"Nov 29, 2012","649.3375","643.4300","651.9700","643.3600","-","1.05%"
"Nov 30, 2012","650.0503","647.7800","651.1900","647.0900","-","0.11%"
"Dec 03, 2012","650.7797","652.1200","657.1100","649.6400","-","0.11%"
"Dec 04, 2012","644.9492","648.8800","650.3000","643.0100","-","-0.90%"
"Dec 05, 2012","643.2606","646.0500","648.1100","640.4500","-","-0.26%"
"Dec 06, 2012","635.6860","643.2000","645.1400","633.5500","-","-1.18%"
"Dec 07, 2012","632.8803","636.7600","637.5400","632.5100","-","-0.44%"
"Dec 10, 2012","631.4033","633.9000","637.5500","630.6500","-","-0.23%"
"Dec 11, 2012","631.9334","630.9300","634.9600","629.7400","-","0.08%"
"Dec 12, 2012","637.0540","633.1000","640.4300","631.9500","-","0.81%"
"Dec 13, 2012","631.3799","634.7700","636.3900","631.1300","-","-0.89%"
"Dec 14, 2012","637.1423","633.3800","637.4900","632.9000","-","0.91%"
"Dec 17, 2012","636.9210","637.4900","639.1500","636.1900","-","-0.03%"
"Dec 18, 2012","640.1778","638.5200","641.5100","636.9100","-","0.51%"
"Dec 19, 2012","644.7311","640.1200","645.7400","639.8500","-","0.71%"
"Dec 20, 2012","643.4922","643.2500","644.9600","640.6800","-","-0.19%"
"Dec 21, 2012","639.0940","639.9000","642.0600","637.0900","-","-0.68%"
"Dec 24, 2012","637.8420","639.1900","639.3900","636.4900","-","-0.20%"
"Dec 26, 2012","646.3068","639.4700","648.6200","638.8400","-","1.33%"
"Dec 27, 2012","645.7793","646.0900","648.1800","642.8900","-","-0.08%"
"Dec 28, 2012","644.4345","647.7200","648.4200","642.4200","-","-0.21%"
"Dec 31, 2012","646.5846","644.2600","647.4200","639.3400","-","0.33%"
"Jan 02, 2013","652.5572","649.2700","656.8700","649.0800","-","0.92%"
"Jan 03, 2013","650.0508","650.6200","652.0900","648.3700","-","-0.38%"
"Jan 04, 2013","646.7070","646.1700","648.3400","642.3600","-","-0.51%"
"Jan 07, 2013","648.6945","648.2600","649.3200","644.7200","-","0.31%"
"Jan 08, 2013","650.1802","649.6600","652.4900","647.9300","-","0.23%"
"Jan 09, 2013","649.3078","649.9300","651.5100","647.6800","-","-0.13%"
"Jan 10, 2013","653.1087","651.0100","657.2200","650.9900","-","0.59%"
"Jan 11, 2013","649.5840","652.1200","652.3600","644.5900","-","-0.54%"
"Jan 14, 2013","655.1869","653.2400","655.6900","650.1100","-","0.86%"
"Jan 15, 2013","652.1791","655.3400","657.0600","651.8700","-","-0.46%"
"Jan 16, 2013","653.3056","653.1600","654.9800","651.0900","-","0.17%"
"Jan 17, 2013","658.2122","652.9600","659.6800","651.8100","-","0.75%"
"Jan 18, 2013","660.8349","657.6100","661.0200","656.6800","-","0.40%"
"Jan 22, 2013","664.0741","662.7500","665.3300","660.6600","-","0.49%"
"Jan 23, 2013","661.9836","663.5300","665.2800","661.0900","-","-0.31%"
"Jan 24, 2013","664.2175","661.8000","665.7800","660.7800","-","0.34%"
"Jan 25, 2013","662.7455","663.6000","665.9200","661.3300","-","-0.22%"
"Jan 28, 2013","665.3303","663.0100","665.9800","661.2400","-","0.39%"
"Jan 29, 2013","670.5080","665.8400","671.5500","664.4800","-","0.78%"
"Jan 30, 2013","675.9450","670.7400","676.3500","670.4500","-","0.81%"
"Jan 31, 2013","675.3659","676.1600","677.1200","671.6500","-","-0.09%"
"Feb 01, 2013","679.0521","675.9400","681.5000","674.6500","-","0.55%"
"Feb 04, 2013","673.8732","678.7200","678.9400","672.8400","-","-0.76%"
"Feb 05, 2013","676.6964","672.8200","678.6000","671.9300","-","0.42%"
"Feb 06, 2013","676.1432","677.3700","677.5800","670.8600","-","-0.08%"
"Feb 07, 2013","674.0073","676.8900","679.6700","672.9700","-","-0.32%"
"Feb 08, 2013","678.1430","676.1100","681.2800","675.2400","-","0.61%"
"Feb 11, 2013","677.6599","677.5700","678.5000","672.7200","-","-0.07%"
"Feb 12, 2013","678.8995","678.0500","680.0700","676.0100","-","0.18%"
"Feb 13, 2013","679.1987","680.0200","681.7000","677.7600","-","0.04%"
"Feb 14, 2013","679.3715","679.8200","680.9800","677.6400","-","0.03%"
"Feb 15, 2013","675.9511","679.7100","680.1400","672.7800","-","-0.50%"
"Feb 19, 2013","675.6292","675.3000","675.8900","671.6800","-","-0.05%"
"Feb 20, 2013","668.2845","676.0800","677.3600","664.7700","-","-1.09%"
"Feb 21, 2013","657.3095","665.2800","665.5900","656.9300","-","-1.64%"
"Feb 22, 2013","658.1243","659.5500","661.8600","656.9000","-","0.12%"
"Feb 25, 2013","658.6352","658.3700","666.1200","657.3400","-","0.08%"
"Feb 26, 2013","653.5630","656.6100","657.5200","651.9700","-","-0.77%"
"Feb 27, 2013","650.1300","654.5600","655.7900","649.6900","-","-0.53%"
"Feb 28, 2013","648.2096","651.8100","652.0700","646.4500","-","-0.30%"
"Mar 01, 2013","642.6459","647.0600","647.3900","640.0300","-","-0.86%"
"Mar 04, 2013","640.4141","642.4900","644.2400","637.8900","-","-0.35%"
"Mar 05, 2013","645.9392","642.3600","646.2000","642.0900","-","0.86%"
"Mar 06, 2013","641.7352","647.9400","647.9400","639.7900","-","-0.65%"
"Mar 07, 2013","646.6478","642.1300","646.8600","641.2900","-","0.77%"
"Mar 08, 2013","648.8118","646.0100","648.8100","642.7800","-","0.33%"
"Mar 11, 2013","648.7175","648.6900","649.7000","644.8500","-","-0.01%"
"Mar 12, 2013","649.6151","649.1800","655.1300","646.8200","-","0.14%"
"Mar 13, 2013","647.1739","650.5500","652.0700","644.2000","-","-0.38%"
"Mar 14, 2013","650.2262","645.7700","650.3400","645.3700","-","0.47%"
"Mar 15, 2013","652.5013","650.9200","655.5600","650.2400","-","0.35%"
"Mar 18, 2013","650.2966","647.3100","650.8300","643.7500","-","-0.34%"
"Mar 19, 2013","643.1565","649.8400","650.5300","641.8800","-","-1.10%"
"Mar 20, 2013","648.7039","644.1700","648.9100","643.2100","-","0.86%"
"Mar 21, 2013","644.5543","648.4700","649.1700","642.3400","-","-0.64%"
"Mar 22, 2013","646.4979","643.9600","647.1000","642.7200","-","0.30%"
"Mar 25, 2013","649.0319","647.6700","653.4900","645.9100","-","0.39%"
"Mar 26, 2013","654.5383","648.4400","654.5700","648.3400","-","0.85%"
"Mar 27, 2013","657.7804","654.3300","658.7000","652.8500","-","0.50%"
